"id","created_time","snippet","headline"
1,"2025-10-29T09:03:36Z","The fish had been missing from the headwaters of the Klamath River for more than a century. Just a year after the removal of a final dam, they’ve returned.","A River Restoration in Oregon Gets Fast Results: The Salmon Swam Right Back"
2,"2026-03-29T09:00:27Z","A long-term project to remove or modify dams may clear the way for endangered wild Atlantic salmon to swim freely up to the Sandy River. But it faces opposition from business and lawmakers.","The Fragile Hope for Salmon Recovery in Maine"
3,"2024-08-27T14:05:16Z","The nation’s largest dam removal project is nearly complete after a lengthy campaign by Native tribes to restore the river at the California-Oregon border.","With Dams Removed, Salmon Will Have the Run of a Western River"
4,"2025-06-17T09:01:03Z","With dams removed from the Klamath River, a group of Indigenous youth is on a journey to descend the full length, through Oregon and California.","First Time in 100 Years: Young Kayakers on a Ride for the Ages"
5,"2025-08-06T09:01:20Z","Shobha Rao’s new novel, “Indian Country,” is a crime story as well as a multilayered saga of white empire in India and America.","The Perp in This Murder Mystery Might Be History Itself"
6,"2025-03-13T09:03:51Z","How tribal leaders, commercial fisherman and a few small environmental groups won an uphill campaign against dams.","The Salmon Are Thriving. So Are Many of the People. Why Would Anyone Shut This Down?"
7,"2025-05-30T09:02:15Z","To view rivers only as sources and drains is to reduce them to base functions rather than to see them as the life-giving, world-shaping forces they are.","Trump’s War on Nature Is Up Against a Powerful New Resistance Movement"
8,"2025-04-14T17:25:40Z","Readers object to the Naval Academy’s removal of books from its library. Also: Measles vaccines; cutting the E.P.A.; a cost to farmers; a plea to our leaders.","Expelled From the Navy: 381 Banned Books"
9,"2025-07-10T23:44:35Z","In a 220-page report to FEMA last year, Kerr County said a flood was likely within a year, and could exceed historical records.","Read the document"
10,"2024-12-31T19:33:24Z","Global warming is making both places more important to global shipping and trade.","Trump Wants Greenland and the Panama Canal. It’s About Climate."
1,"2026-03-22T09:00:17Z","Washington’s floods in December broke records set just four years before, but as farmers, tribes, fishermen and governments search for solutions, a quick fix, dredging, seems to stand in the way.","As Northwest Flooding Worsens, Conflicting Interests Stymie Solutions"
2,"2025-06-17T21:01:18Z","Plus, Octopuses’ marvelous arms.","Wednesday Briefing: Trump Calls for Iran’s ‘Unconditional Surrender’"
3,"2025-06-18T04:52:36Z","Fears of a wider war in Iran.","Wednesday Briefing"
4,"2025-09-18T09:00:48Z","Laos is just one of the emerging markets where China’s green-tech revolution is installing more than cheap energy.","What Will China’s Green-Tech Ambitions Cost the World?"
5,"2025-03-04T21:17:03Z","Prime Minister Justin Trudeau of Canada warned that the Trump administration’s tariffs were leading to a trade war. Mexico’s leader vowed to impose countermeasures on Sunday.","Canada and China Retaliate Against U.S. Tariffs, Which Trudeau Derides as ‘Dumb’"
6,"2024-05-28T09:01:06Z","Currently, the fish are blocked from their most important spawning tributary.","We Can Turn a River in Maine Into a Paradise for Salmon"
7,"2026-02-27T00:17:12Z","In a scathing order, the chief federal judge in Minnesota accused federal officials of continuing to disobey judicial orders related to immigration enforcement.","Read Judge Schiltz’s Order"
8,"2025-03-26T00:21:14Z","A series about local solutions, and the people behind them, to environmental problems.","50 States, 50 Fixes"
9,"2024-10-09T00:00:42Z","Some online posts have threatened violence against FEMA officials. A research group found that the X platform has been one of the main drivers of misinformation.","Antisemitism and Threats Directed at Officials Over Storm Response"
10,"2025-05-02T15:02:39Z","The White House has released its budget request to Congress for the 2026 fiscal year, calling for about $163 billion in cuts to non-defense funds.","Read Trump’s 2026 Discretionary Budget Request"
